montanha-russa
classe executiva
relógio biológico
graveyard shift
má-fé
nest egg
front runner
gold mine
damp squib
café colonial
secretária eletrônica
poison pill
pecking order
con artist
gripe aviária
kangaroo court
birth rate
big fish
direitos humanos
blame game
exame laboratorial
food market
crocodile tear
big wig
car park
traffic control
eager beaver
eye candy
public service
white spirit
pão-duro
alarme falso
balance sheet
primeira necessidade
couch potato
peace conference
vinho branco
music journalist
skin tone
agony aunt
cooking stove
computer expert
grandfather clock
speed trap
rede social
tear gas
world conference
terceira pessoa
tartaruga-marinha
batata-doce
elefante branco
cheat sheet
box office
amigo oculto
insider trading
mau-olhado
shrinking violet
wedding day
buraco negro
sugar daddy
chain reaction
shelf life
rock bottom
hard shoulder
companhia aérea
beauty sleep
dutch courage
peace talk
pastor alemão
alta temporada
contact lens
small fry
life vest
máquina virtual
end user
busy bee
estrela cadente
curto-circuito
segundo plano
tapete vermelho
ponto forte
interest rate
noise complaint
wedding anniversary
critical review
círculo vicioso
cash cow
insurance company
flea market
job fair
melting pot
night owl
search engine
application form
dream ticket
incubation period
glass ceiling
role model
jet lag
bank account
sinal verde
closed book
desfile militar
poção mágica
leite integral
flower child
crash course
sala cirúrgica
hard drive
fashion plate
hot potato
ivory tower
príncipe encantado
human being
cellular phone
cutting edge
rat race
polo shirt
bad apple
heavy cross
relógio analógico
vista grossa
livre-docente
think tank
carro-forte
cocoa butter
grass root
carne branca
entrance hall
ancient history
circuito integrado
injury time
game plan
sexto sentido
smoking jacket
computer program
brass ring
rocket science
núcleo atômico
pillow slip
call centre
gravy train
guilt trip
pipe dream
trabalho escravo
deputado federal
spinning jenny
rat run
farinha integral
sangue quente
law firm
fio condutor
sitting duck
elbow room
love song
algodão-doce
web site
bebida alcoólica
carne vermelha
cheiro-verde
primeira infância
mental disorder
swan song
silver lining
mailing list
rainy season
coração partido
caixa-preta
papel higiênico
double cross
smoking gun
graduate student
acampamento militar
silver spoon
escada rolante
private eye
bow tie
speed limit
white noise
radio station
memory lane
sistema político
trabalho braçal
pau-mandado
medical procedure
bad hat
disco voador
braço direito
home run
cable car
big picture
bull market
efeito especial
black box
processo seletivo
quinta categoria
dark horse
brain drain
fall guy
monkey business
acid test
snake oil
marketing consultant
massa cinzenta
carta aberta
civil marriage
regime político
zebra crossing
roleta russa
dust storm
goose egg
football season
arcade game
health care
alto-falante
fine line
pain killer
health check
disco rígido
amigo secreto
centro espírita
calendar month
cloud nine
paraíso fiscal
silver bullet
head teacher
information age
caixeiro viajante
ground floor
best man
number crunching
amor-próprio
baby blues
basket case
phone book
primeiro plano
research project
cocktail dress
fairy tale
comida caseira
case study
cordas vocais
bankruptcy proceeding
círculo virtuoso
black operation
febre amarela
music festival
fresh water
longa-metragem
day shift
snail mail
crime rate
video game
planta baixa
blue blood
segundas intenções
fish story
honey trap
economic aid
ar condicionado
rush hour
lip service
dry land
centro comercial
biological clock
alta-costura
low profile
head hunter
top dog
pé-frio
high life
social insurance
hen party
caixa-forte
governo federal
field work
loan shark
ovelha negra
ano-novo
lotus position
sangue frio
lugar-comum
livro aberto
china clay
radioactive material
brick wall
swimming pool
winter solstice
ghost town
salão paroquial
panda car
radioactive waste
narrow escape
smoke screen
ônibus executivo
pronto-socorro
terceira idade
cotton candy
stag night
blood bath
copy cat
credit card
fair play
double whammy
rice paper
blind alley
sentença judicial
gato-pingado
bode expiatório
spelling bee
agente secreto
silver screen
sacred cow
big cheese
banana republic
backroom boy
parking lot
climate change
fila indiana
mercado negro
health insurance
leap year
